,Company,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacturing_year
24,Hyundai,Grand i10 1.2,541000.0,21239,Petrol,Manual,1st Owner,2018
25,MarutiSuzuki,Alto K10 LXI,223000.0,62361,Petrol,Manual,1st Owner,2014
26,Hyundai,Verna 1.6 VTVT,588000.0,79329,Petrol,Manual,2nd Owner,2015
27,Hyundai,Tucson GLS AT,2278000.0,11945,Petrol,Automatic,1st Owner,2021
28,MarutiSuzuki,Swift Dzire VXI,612000.0,51324,Petrol,Manual,1st Owner,2018
29,Nissan,Magnite XV Premium,744000.0,5717,Petrol,Manual,1st Owner,2021
30,Honda,City i VTEC,839000.0,46417,Petrol,Automatic,1st Owner,2016
31,Honda,Amaze S i-Vtech,420000.0,100161,Petrol,Manual,1st Owner,2015
32,Hyundai,Grand i10 Sportz,491000.0,35424,Petrol,Manual,1st Owner,2016
33,Hyundai,EON Era Plus,293000.0,51085,Petrol,Manual,1st Owner,2017
34,MarutiSuzuki,Alto 800 LXI,298000.0,30983,Petrol,Manual,1st Owner,2016
35,Renault,KWID RXL,260000.0,32681,Petrol,Manual,1st Owner,2016
36,Hyundai,EON Magna Plus,238000.0,57581,Petrol,Manual,2nd Owner,2014
37,Honda,Jazz 1.2 V,605000.0,39821,Petrol,Automatic,1st Owner,2016
38,MarutiSuzuki,Alto 800 LXI,323000.0,21186,Petrol,Manual,1st Owner,2018
39,Renault,KWID RXL,326000.0,34972,Petrol,Manual,1st Owner,2018
40,Honda,Amaze S i-Vtech,421000.0,46623,Petrol,Manual,2nd Owner,2015
41,Kia,Seltos GTX Plus,1553000.0,18557,Petrol,Manual,1st Owner,2019
42,Jeep,Compass 2.0 Limited,1243000.0,58463,Diesel,Manual,1st Owner,2017
43,MG,Hector Plus Sharp,1850000.0,5000,Petrol,Automatic,1st Owner,2020
44,Tata,Harrier XZ BSIV,1590000.0,66000,Diesel,Manual,1st Owner,2019
45,Renault,Duster Petrol RXS,890000.0,14000,Petrol,Automatic,1st Owner,2019
46,BMW,5 Series 520d,4300000.0,61000,Diesel,Automatic,1st Owner,2019
47,Hyundai,i20 1.4 Magna,600000.0,65392,Diesel,Manual,1st Owner,2017
48,Mercedes-Benz,CLA 200 CGI,2700000.0,37000,Petrol,Automatic,1st Owner,2018
49,MarutiSuzuki,XL6 Zeta,1090000.0,9000,Petrol,Manual,1st Owner,2020
50,Hyundai,Grand i10 1.2,590000.0,32000,Petrol,Automatic,1st Owner,2017
51,Mahindra,XUV500 W8 2WD,650000.0,68000,Diesel,Manual,1st Owner,2012
52,Hyundai,i20 Magna 1.2,675000.0,13000,Petrol,Manual,1st Owner,2017
53,Datsun,RediGO AMT 1.0,370000.0,30000,Petrol,Automatic,1st Owner,2020
54,Honda,Brio VX AT,525000.0,34300,Petrol,Automatic,1st Owner,2015
55,Honda,City i VTEC,725000.0,45000,Petrol,Automatic,1st Owner,2015
56,Toyota,Corolla Altis GL,850000.0,37000,Petrol,Manual,1st Owner,2014
57,Jeep,Compass 1.4 Sport,1400000.0,50000,Petrol,Manual,1st Owner,2018
58,Volvo,XC60 D4 Summum,1500000.0,105241,Diesel,Automatic,1st Owner,2015
59,Toyota,Corolla Altis 1.8,1390000.0,54000,Petrol,Manual,1st Owner,2019
60,Hyundai,Verna VTVT 1.6,890000.0,19600,Petrol,Manual,1st Owner,2019
61,Audi,A4 2.0 TDI,1689999.9999999998,48000,Diesel,Automatic,1st Owner,2015
62,Audi,Q3 2.0 TDI,1390000.0,69500,Diesel,Automatic,1st Owner,2012
63,BMW,5 Series 530d,1500000.0,71000,Diesel,Automatic,2nd Owner,2012
64,Porsche,Cayenne S Diesel,4500000.0,48894,Diesel,Automatic,1st Owner,2014
65,MarutiSuzuki,A-Star Zxi,153000.0,46257,Petrol,Manual,3rd Owner,2008
66,Ford,Ecosport 1.5 DV5,509000.0,78264,Diesel,Manual,2nd Owner,2015
67,Honda,Jazz 1.2 S,546000.0,42451,Petrol,Automatic,1st Owner,2016
68,Volkswagen,Vento Diesel Highline,273000.0,131861,Diesel,Manual,2nd Owner,2012
69,MarutiSuzuki,Wagon R VXI,180000.0,128004,Petrol,Manual,2nd Owner,2012
70,Chevrolet,Beat Diesel PS,110000.00000000001,150349,Diesel,Manual,1st Owner,2012
71,MarutiSuzuki,Wagon R VXI,369000.0,29033,Petrol,Manual,1st Owner,2017
72,BMW,3 Series 320d,1350000.0,99000,Diesel,Automatic,1st Owner,2015
73,Renault,KWID RXL,275000.0,47000,Petrol,Manual,1st Owner,2018
74,MarutiSuzuki,Baleno 1.3 Sigma,550000.0,35000,Diesel,Manual,1st Owner,2018
75,Mercedes-Benz,C-Class C 220,975000.0,58000,Diesel,Automatic,1st Owner,2013
76,Honda,City S,400000.0,48000,Petrol,Manual,1st Owner,2012
77,Honda,Amaze VX AT,475000.0,45000,Petrol,Automatic,1st Owner,2014
78,Hyundai,EON D Lite,190000.0,60000,Petrol,Manual,2nd Owner,2012
79,Hyundai,i20 Magna Optional,465000.00000000006,23000,Petrol,Manual,1st Owner,2014
80,Hyundai,Grand i10 1.2,459999.99999999994,45000,Petrol,Manual,1st Owner,2019
81,Hyundai,i10 Magna 1.1L,325000.0,45000,Petrol,Manual,1st Owner,2014
82,MarutiSuzuki,Ertiga VDI,525000.0,58000,Diesel,Manual,1st Owner,2013
83,Hyundai,i20 1.2 Spotz,625000.0,48000,Petrol,Manual,1st Owner,2018
84,BMW,2 Series 220i,4000000.0,18000,Petrol,Automatic,1st Owner,2021
85,Skoda,Kushaq 1.0 TSI,1675000.0,16000,Petrol,Automatic,1st Owner,2022
86,Honda,City i-VTEC VX,1000000.0,24000,Petrol,Manual,1st Owner,2019
87,MG,Hector Plus Select,1789999.9999999998,36000,Diesel,Manual,1st Owner,2021
88,Jeep,Compass 1.4 Limited,1390000.0,35000,Petrol,Automatic,2nd Owner,2019
89,Honda,Amaze E Petrol,610000.0,64000,Petrol,Manual,1st Owner,2019
90,MarutiSuzuki,Vitara Brezza VDi,775000.0,72000,Diesel,Manual,1st Owner,2017
91,Hyundai,Grand i10 Magna,459999.99999999994,29900,Petrol,Manual,1st Owner,2015
92,Mahindra,XUV700 AX5 Diesel,2091000.0,20000,Diesel,Automatic,1st Owner,2022
93,Tata,Indigo VX BSIV,310000.0,160000,Diesel,Manual,1st Owner,2013
94,Tata,Tiago XZ Plus,565000.0,16000,Petrol,Manual,1st Owner,2020
95,Honda,WR-V i-VTEC VX,900000.0,17000,Petrol,Manual,1st Owner,2019
96,Lexus,NX 300h,4200000.0,111000,Petrol,Automatic,1st Owner,2018
97,Mercedes-Benz,M-Class ML 250,2850000.0,38000,Diesel,Automatic,2nd Owner,2015
98,Honda,Jazz 1.5 SV,550000.0,32000,Diesel,Manual,1st Owner,2015
99,Volkswagen,Polo 1.2 MPI,450000.0,67000,Petrol,Manual,1st Owner,2015
100,Ford,Ecosport 1.5 Petrol,675000.0,50000,Petrol,Automatic,1st Owner,2016
101,MarutiSuzuki,Swift VDI BSIV,180000.0,110000,Diesel,Manual,2nd Owner,2010
102,Hyundai,Verna VTVT 1.6,775000.0,51000,Petrol,Automatic,1st Owner,2017
103,Hyundai,Grand i10 1.2,550000.0,83000,Diesel,Manual,1st Owner,2017
104,Audi,Q3 35 TDI,2400000.0,38000,Diesel,Automatic,1st Owner,2016
105,Hyundai,Creta 1.6 SX,1325000.0,58000,Diesel,Automatic,1st Owner,2018
106,Hyundai,Creta 1.6 SX,1100000.0,36000,Petrol,Manual,1st Owner,2018
107,Volkswagen,Vento 1.0 TSI,1050000.0,23500,Petrol,Automatic,1st Owner,2020
108,Hyundai,i20 1.2 Magna,650000.0,60000,Petrol,Manual,1st Owner,2017
109,Skoda,Superb LK 1.8,2500000.0,18000,Petrol,Automatic,1st Owner,2018
110,Honda,Amaze V Petrol,600000.0,36500,Petrol,Manual,1st Owner,2017
111,Skoda,Superb Sportline,3100000.0,25000,Petrol,Automatic,1st Owner,2021
112,Kia,Seltos HTX IVT,1575000.0,20500,Petrol,Automatic,1st Owner,2020
113,Honda,Amaze S i-Vtech,450000.0,30000,Petrol,Manual,1st Owner,2015
114,Hyundai,i20 Magna 1.2,590000.0,59000,Petrol,Manual,1st Owner,2017
115,BMW,X1 sDrive 20d,1450000.0,80000,Diesel,Automatic,1st Owner,2014
116,Hyundai,Xcent 1.2 CRDi,380000.0,50000,Diesel,Manual,2nd Owner,2017
117,Tata,Harrier XZAS Plus,2100000.0,32000,Diesel,Automatic,1st Owner,2021
118,Hyundai,i10 Era 1.1,261000.0,120000,Petrol,Manual,2nd Owner,2012
119,LandRover,Rover Discovery 2.0,11000000.0,33000,Petrol,Automatic,1st Owner,2021
120,Mini,3 DOOR Cooper,4200000.0,6900,Petrol,Automatic,1st Owner,2019
121,Tata,Harrier XZA Plus,2250000.0,4500,Diesel,Automatic,1st Owner,2022
122,Volvo,S90 D4 Inscription,4200000.0,51000,Diesel,Automatic,1st Owner,2018
123,Kia,Seltos GTX Plus,1975000.0,12000,Diesel,Automatic,1st Owner,2022
124,MarutiSuzuki,Vitara Brezza ZDi,950000.0,37000,Diesel,Manual,1st Owner,2018
125,Hyundai,Verna SX Opt,1451000.0,35000,Diesel,Manual,1st Owner,2021
126,MarutiSuzuki,Wagon R VXI,300000.0,80000,Petrol,Manual,2nd Owner,2016
127,Hyundai,Grand i10 Magna,459999.99999999994,60000,Petrol,Manual,1st Owner,2016
128,Honda,Amaze VX CVT,915000.0,10000,Petrol,Automatic,1st Owner,2022
129,MarutiSuzuki,Ignis Zeta AMT,550000.0,59385,Petrol,Automatic,1st Owner,2019
130,Jaguar,XF 3.0 Litre,1700000.0,51000,Diesel,Automatic,2nd Owner,2012
131,Mahindra,XUV500 AT W6,990000.0,74000,Diesel,Automatic,1st Owner,2017
132,Tata,Nexon 1.2 Revotron,851000.0,29000,Petrol,Automatic,1st Owner,2020
133,Jeep,Compass Model S,2750000.0,12200,Diesel,Automatic,1st Owner,2021
134,Hyundai,Grand i10 1.2,550000.0,40000,Petrol,Automatic,3rd Owner,2019
135,Hyundai,Verna CRDi 1.6,951000.0,58000,Diesel,Manual,1st Owner,2018
136,Toyota,Innova Crysta 2.8,1989999.9999999998,75000,Diesel,Automatic,2nd Owner,2019
137,LandRover,Rover Discovery Sport,3550000.0,72000,Diesel,Automatic,1st Owner,2018
138,Ford,Aspire 1.2 Ti-VCT,550000.0,23400,Petrol,Manual,1st Owner,2017
139,Ford,Aspire 1.2 Ti-VCT,390000.0,59300,Petrol,Manual,1st Owner,2017
140,Hyundai,Creta 1.4 CRDi,890000.0,72000,Diesel,Manual,1st Owner,2016
141,MarutiSuzuki,Swift Dzire LDI,451000.0,67000,Diesel,Manual,1st Owner,2017
142,Honda,Amaze S CVT,725000.0,33500,Petrol,Automatic,1st Owner,2018
143,Hyundai,Creta SX Executive,1275000.0,17000,Petrol,Manual,2nd Owner,2021
144,Volkswagen,Ameo 1.5 TDI,690000.0,33000,Diesel,Automatic,1st Owner,2016
145,Volkswagen,Polo GT TSI,675000.0,49000,Petrol,Automatic,1st Owner,2015
146,Hyundai,Grand i10 AT,565000.0,26000,Petrol,Automatic,1st Owner,2015
147,Hyundai,Venue SX Opt,1000000.0,14500,Petrol,Manual,1st Owner,2020
148,Kia,Seltos GTX Plus,1975000.0,10000,Diesel,Automatic,1st Owner,2022
149,MG,Hector Plus Sharp,1700000.0,15001,Petrol,Automatic,1st Owner,2020
150,Skoda,Octavia Elegance 1.8,975000.0,55000,Petrol,Automatic,2nd Owner,2015
151,Toyota,Corolla Altis G,650000.0,38000,Petrol,Manual,1st Owner,2013
152,Ford,Endeavour 4x4 XLT,400000.0,110000,Diesel,Manual,2nd Owner,2005
153,Honda,Amaze S AT,475000.0,65413,Petrol,Automatic,1st Owner,2013
154,Honda,Jazz Mode,280000.0,45000,Petrol,Manual,2nd Owner,2009
155,Ford,Figo 1.2P Trend,430000.0,44000,Petrol,Manual,1st Owner,2017
156,Hyundai,Grand i10 1.2,490000.00000000006,40000,Petrol,Manual,1st Owner,2017
157,Ford,Ecosport 1.5 Petrol,651000.0,49000,Petrol,Automatic,1st Owner,2016
158,Mahindra,Thar LX 4-Str,1751000.0000000002,19000,Diesel,Automatic,1st Owner,2022
159,Hyundai,i20 Magna Optional,391000.0,56000,Diesel,Manual,2nd Owner,2013
160,Honda,City 1.5 V,375000.0,65000,Petrol,Manual,2nd Owner,2010
161,Toyota,Etios G,490000.00000000006,27680,Petrol,Manual,1st Owner,2013
162,Kia,Seltos GTX Plus,1825000.0,27305,Diesel,Automatic,1st Owner,2021
163,BMW,3 Series 320d,3300000.0,10793,Diesel,Automatic,1st Owner,2019
164,BMW,X3 xDrive 20d,5600000.0,12000,Diesel,Automatic,1st Owner,2020
165,MG,Hector Sharp DCT,1499000.0,44000,Petrol,Automatic,1st Owner,2019
166,Kia,Seltos HTK G,1199000.0,63000,Petrol,Manual,1st Owner,2020
167,Hyundai,i20 Sportz Plus,650000.0,87000,Diesel,Manual,1st Owner,2019
168,MarutiSuzuki,Alto LXi,190000.0,61000,Petrol,Manual,1st Owner,2010
169,Hyundai,i20 Sportz Option,625000.0,72000,Diesel,Manual,1st Owner,2016
170,Audi,A4 2.0 TDI,1651000.0000000002,70000,Diesel,Automatic,1st Owner,2015
171,Nissan,Micra Diesel XV,225000.0,58000,Diesel,Manual,2nd Owner,2012
172,Honda,Jazz Active,130000.0,90000,Petrol,Manual,3rd Owner,2009
173,Honda,City VX MT,1250000.0,19000,Petrol,Manual,1st Owner,2022
174,Toyota,Corolla Altis G,925000.0,72159,Petrol,Automatic,1st Owner,2014
175,Ford,Ecosport 1.5 DV5,590000.0,78000,Diesel,Manual,1st Owner,2015
176,Ford,Ecosport 1.5 Diesel,690000.0,58000,Diesel,Manual,1st Owner,2018
177,Ford,Ecosport 1.5 Diesel,890000.0,72000,Diesel,Manual,1st Owner,2018
178,LandRover,Rover Range Rover,4250000.0,56000,Diesel,Automatic,1st Owner,2018
179,Nissan,Micra Diesel XV,290000.0,73000,Diesel,Manual,1st Owner,2012
180,Hyundai,Creta 1.6 VTVT,890000.0,28840,Petrol,Manual,1st Owner,2016
181,MarutiSuzuki,Swift Dzire AMT,690000.0,51500,Petrol,Automatic,1st Owner,2019
182,MarutiSuzuki,S-Presso VXI Plus,480000.0,41370,Petrol,Automatic,1st Owner,2020
183,Hyundai,Creta 1.6 VTVT,875000.0,41266,Petrol,Manual,1st Owner,2016
184,Hyundai,Verna VTVT 1.6,990000.0,31740,Petrol,Automatic,1st Owner,2018
185,MarutiSuzuki,Ciaz VXi Plus,615000.0,77876,Petrol,Manual,1st Owner,2015
186,Skoda,Kushaq 1.5 TSI,2050000.0,9500,Petrol,Manual,1st Owner,2022
187,Hyundai,Grand i10 1.2,625000.0,28387,Petrol,Automatic,1st Owner,2019
188,Mercedes-Benz,M-Class ML 350,2700000.0,120000,Diesel,Automatic,2nd Owner,2015
189,Hyundai,Grand i10 Magna,450000.0,20000,Petrol,Manual,2nd Owner,2017
190,Mercedes-Benz,C-Class Progressive C,4250000.0,30686,Diesel,Automatic,1st Owner,2020
191,Tata,Indica eV2 DL,100000.0,120000,Diesel,Manual,2nd Owner,2013
192,Mahindra,Bolero Power Plus,600000.0,184000,Diesel,Manual,2nd Owner,2018
193,Honda,City 1.5 S,400000.0,40000,Petrol,Automatic,1st Owner,2009
194,MarutiSuzuki,Ciaz Delta Diesel,625000.0,55000,Diesel,Manual,1st Owner,2015
195,Hyundai,Grand i10 1.2,575000.0,38000,Petrol,Manual,1st Owner,2019
196,Audi,Q3 30 TFSI,2350000.0,40000,Petrol,Automatic,1st Owner,2017
197,Hyundai,Santro GS zipDrive,135000.0,60000,Petrol,Manual,2nd Owner,2006
198,Mahindra,Bolero SLX,300000.0,110000,Diesel,Manual,3rd Owner,2009
199,MarutiSuzuki,Swift LDI,210000.0,143000,Diesel,Manual,2nd Owner,2011
200,Tata,Indica Aqua 1.3,125000.0,110000,Diesel,Manual,3rd Owner,2012
201,Mahindra,KUV 100 mFALCON,475000.0,58000,Diesel,Manual,1st Owner,2017
202,Honda,City i VTEC,550000.0,65000,Petrol,Manual,2nd Owner,2014
203,Tata,Harrier XZ Plus,1700000.0,50000,Diesel,Manual,1st Owner,2021
204,Tata,Zest Revotron 1.2,349000.0,55000,Petrol,Manual,1st Owner,2015
205,LandRover,Rover Discovery Sport,7000000.0,19500,Diesel,Automatic,1st Owner,2021
206,Mahindra,XUV500 AT W10,925000.0,78000,Diesel,Automatic,2nd Owner,2016
207,Honda,City V MT,390000.0,58000,Petrol,Manual,1st Owner,2010
208,Mahindra,XUV500 W10 2WD,1025000.0,91000,Diesel,Manual,1st Owner,2017
209,Mahindra,XUV500 AT W10,1125000.0,30000,Diesel,Automatic,1st Owner,2016
210,MarutiSuzuki,Baleno 1.2 Zeta,725000.0,44153,Petrol,Manual,1st Owner,2018
211,Mercedes-Benz,C-Class C 250d,3450000.0,21000,Diesel,Automatic,1st Owner,2018
212,Kia,Seltos HTX G,1400000.0,19000,Petrol,Manual,1st Owner,2020
213,Hyundai,Alcazar Signature Diesel,1950000.0,27300,Diesel,Automatic,1st Owner,2021
214,Skoda,Superb Laurin &,3400000.0,31001,Petrol,Automatic,1st Owner,2021
215,Renault,KWID 1.0 RXT,310000.0,50000,Petrol,Manual,1st Owner,2017
216,MarutiSuzuki,Wagon R LXI,130000.0,77000,Petrol,Manual,2nd Owner,2005
217,MarutiSuzuki,Swift Dzire AMT,650000.0,53000,Petrol,Automatic,1st Owner,2018
218,Datsun,RediGO S,275000.0,20000,Petrol,Manual,1st Owner,2017
219,Honda,Brio S Option,350000.0,72000,Petrol,Manual,1st Owner,2013
220,Hyundai,Creta 1.6 VTVT,890000.0,26000,Petrol,Manual,1st Owner,2016
221,Honda,Amaze S i-Dtech,425000.0,66000,Diesel,Manual,1st Owner,2015
222,Jaguar,XF 2.2 Litre,2200000.0,69619,Diesel,Automatic,1st Owner,2014
223,MarutiSuzuki,Alto K10 VXI,430000.0,30000,Petrol,Automatic,1st Owner,2018
224,MarutiSuzuki,Wagon R LXI,211000.0,61000,Petrol,Manual,1st Owner,2009
225,Renault,Duster 110PS Diesel,975000.0,31000,Diesel,Automatic,1st Owner,2018
226,Volkswagen,Polo GT TSI,625000.0,66000,Petrol,Automatic,1st Owner,2015
227,LandRover,Rover Discovery Sport,7200000.0,7700,Petrol,Automatic,1st Owner,2021
228,Mahindra,XUV700 AX3 AT,1750000.0,9000,Petrol,Automatic,1st Owner,2022
229,Tata,Tigor 1.2 Revotron,340000.0,60000,Petrol,Manual,2nd Owner,2017
230,Skoda,Fabia 1.2 MPI,110000.00000000001,110000,Petrol,Manual,3rd Owner,2009
231,Kia,Seltos HTX Plus,1675000.0,51001,Diesel,Automatic,1st Owner,2020
232,Jeep,Compass 2.0 Limited,2100000.0,56207,Diesel,Automatic,1st Owner,2020
233,Mercedes-Benz,GLA Class 200,2690000.0,58000,Diesel,Automatic,1st Owner,2019
234,Hyundai,i20 Diesel Sportz,650000.0,73290,Diesel,Manual,1st Owner,2018
235,Hyundai,Verna 1.6 CRDi,790000.0,44283,Diesel,Manual,1st Owner,2017
236,MarutiSuzuki,Celerio VXI AT,425000.0,48000,Petrol,Automatic,1st Owner,2016
237,Honda,City 1.5 S,340000.0,107500,Petrol,Manual,3rd Owner,2010
238,MarutiSuzuki,Swift 1.3 LXI,99999.0,80000,Petrol,Manual,3rd Owner,2007
239,MarutiSuzuki,SX4 Celebration Petrol,200000.0,90000,Petrol,Manual,2nd Owner,2009
240,MarutiSuzuki,Vitara Brezza LXI,775000.0,10000,Petrol,Manual,1st Owner,2021
241,MarutiSuzuki,Wagon R LXI,215000.0,120000,Petrol,Manual,1st Owner,2011
242,MarutiSuzuki,Wagon R LXI,237000.0,120000,Petrol,Manual,1st Owner,2011
243,MarutiSuzuki,Zen LX,55000.0,90000,Petrol,Manual,3rd Owner,2002
244,Mahindra,KUV 100 NXT,425000.0,46000,Petrol,Manual,1st Owner,2018
245,Nissan,Sunny XL D,575000.0,28000,Diesel,Manual,1st Owner,2017
246,Honda,WR-V SV,825000.0,24000,Petrol,Manual,1st Owner,2020
247,Honda,WR-V i-VTEC S,690000.0,23000,Petrol,Manual,1st Owner,2018
248,Honda,WR-V i-VTEC VX,775000.0,24300,Petrol,Manual,1st Owner,2018
249,Honda,WR-V i-VTEC VX,790000.0,51000,Petrol,Manual,1st Owner,2019
250,Kia,Seltos GTX Plus,1490000.0,6000,Petrol,Automatic,1st Owner,2020
251,Kia,Seltos GTX Plus,1725000.0,12600,Petrol,Automatic,1st Owner,2021
252,Jeep,Meridian Limited Opt,3700000.0,3500,Diesel,Automatic,1st Owner,2022
253,Hyundai,i10 Era,229999.99999999997,120000,Petrol,Manual,1st Owner,2011
254,Hyundai,Grand i10 Nios,750000.0,5000,Cng,Manual,1st Owner,2022
255,Hyundai,Santro Xing GLS,135000.0,120000,Petrol,Manual,4th Owner,2010
256,Honda,Jazz V CVT,695000.0,40000,Petrol,Automatic,1st Owner,2018
257,Honda,City i-VTEC V,785000.0,96000,Petrol,Manual,1st Owner,2018
258,Honda,City 1.5 S,325000.0,67000,Petrol,Manual,2nd Owner,2010
259,Honda,City i-VTEC V,790000.0,72000,Petrol,Manual,1st Owner,2018
260,Hyundai,i10 Magna,321000.0,89000,Petrol,Manual,1st Owner,2013
261,Volkswagen,Polo Diesel Trendline,330000.0,64000,Diesel,Manual,1st Owner,2011
262,MarutiSuzuki,Swift Vdi BSIII,200000.0,120000,Diesel,Manual,3rd Owner,2010
263,Honda,Jazz 1.2 SV,540000.0,42000,Petrol,Manual,1st Owner,2017
264,Datsun,RediGO T,270000.0,55000,Petrol,Manual,1st Owner,2017
265,Hyundai,Santro Era Executive,495000.0,30000,Petrol,Manual,1st Owner,2019
266,Tata,Hexa XTA,1000000.0,86500,Diesel,Automatic,2nd Owner,2017
267,Honda,CR-V 2.4L 4WD,1050000.0,59000,Petrol,Automatic,1st Owner,2014
268,Hyundai,EON Era Plus,310000.0,15000,Petrol,Manual,1st Owner,2018
269,Mahindra,Scorpio S7 140,1200000.0,70000,Diesel,Manual,1st Owner,2019
270,Volkswagen,Polo ALLSTAR 1.2,600000.0,50000,Petrol,Manual,2nd Owner,2017
271,Chevrolet,Cruze LT,300000.0,110000,Diesel,Manual,1st Owner,2012
272,Tata,Nexon XMA AMT,925000.0,13700,Petrol,Automatic,1st Owner,2021
273,MarutiSuzuki,Swift VXI BSIV,570000.0,25000,Petrol,Manual,1st Owner,2019
274,Ford,Ecosport Sports Diesel,1100000.0,20000,Diesel,Manual,1st Owner,2021
275,Jaguar,XF 2.2 Litre,1800000.0,70000,Diesel,Automatic,2nd Owner,2014
276,Tata,Indica TDI LX,100000.0,35000,Diesel,Manual,3rd Owner,2013
277,Toyota,Fortuner 4X4 Diesel,4350000.0,26629,Diesel,Automatic,1st Owner,2021
278,Mercedes-Benz,C-Class Progressive C,4650000.0,20000,Diesel,Automatic,1st Owner,2019
279,Mercedes-Benz,GLC Progressive 220d,5395000.0,33000,Diesel,Automatic,1st Owner,2019
280,BMW,3 Series Gran,6175000.0,25000,Petrol,Automatic,1st Owner,2021
281,Audi,Q3 30 TDI,2795000.0,55291,Diesel,Manual,1st Owner,2017
282,Mercedes-Benz,C-Class C 220,1650000.0,58500,Diesel,Automatic,1st Owner,2013
283,Audi,Q7 45 TDI,7250000.0,15000,Diesel,Automatic,1st Owner,2018
284,Renault,Duster 85PS Diesel,650000.0,90000,Diesel,Manual,1st Owner,2014
285,Audi,Q3 35 TDI,1300000.0,64000,Diesel,Automatic,2nd Owner,2012
286,MarutiSuzuki,Zen LXI,400000.0,132596,Petrol,Manual,2nd Owner,2004
287,MarutiSuzuki,Swift VXI BSIII,154000.0,99673,Petrol,Manual,3rd Owner,2008
288,Tata,Nexon EV Prime,418000.0,24374,Electric,Automatic,1st Owner,2021
289,Volkswagen,Vento Petrol Highline,392000.0,69828,Petrol,Automatic,3rd Owner,2011
290,MarutiSuzuki,Baleno 1.2 Alpha,594000.0,72820,Petrol,Manual,2nd Owner,2016
291,Mercedes-Benz,C-Class Progressive C,3724000.0,20785,Diesel,Automatic,1st Owner,2019
292,MarutiSuzuki,Swift Dzire VXI,588000.0,31172,Petrol,Automatic,2nd Owner,2016
293,Hyundai,Grand i10 Sportz,451999.99999999994,24395,Petrol,Manual,1st Owner,2016
294,MG,Hector Sharp DCT,1825000.0,11050,Petrol,Automatic,1st Owner,2021
295,Toyota,Innova 2.5 GX,774000.0,123394,Diesel,Manual,2nd Owner,2013
296,MarutiSuzuki,Swift ZDi,421000.0,105053,Diesel,Manual,2nd Owner,2013
297,Hyundai,i20 Sportz,844000.0,10283,Petrol,Manual,1st Owner,2021
298,Tata,Harrier XZ Plus,2199000.0,2443,Diesel,Manual,1st Owner,2022
299,Toyota,Fortuner 2.7 2WD,3100000.0,44000,Petrol,Automatic,2nd Owner,2019
300,Audi,Q5 3.0 TDI,994999.9999999999,68000,Diesel,Automatic,3rd Owner,2011
301,Mahindra,Ssangyong Rexton RX7,975000.0,72000,Diesel,Automatic,1st Owner,2013
302,Hyundai,i10 Magna 1.1L,225000.0,38000,Petrol,Manual,1st Owner,2011
303,MarutiSuzuki,Swift Dzire VXI,650000.0,65000,Petrol,Manual,1st Owner,2019
304,Audi,Q7 45 TDI,1875000.0,43000,Diesel,Automatic,2nd Owner,2014
